response A record, cluster size
0.9.88.173,21
0.8.149.17,11
0.8.156.105,927
0.8.150.85,21
192.168.1.1,473
0.8.153.236,15
0.8.151.45,3
0.8.156.145,353
192.185.4.133,69
0.8.136.112,131
0.8.155.14,1
0.8.143.71,2
108.167.133.24,47
50.87.144.63,70
0.8.144.219,15
50.87.144.154,51
0.8.100.229,933
0.8.103.36,327
0.9.71.19,305
0.8.149.138,456
0.8.127.233,1254
0.8.163.99,8
108.179.229.4,28
0.10.63.128,3
0.10.191.155,10
0.8.151.54,44
108.167.189.24,42
0.8.166.127,161
0.8.201.255,8
0.8.149.239,31
0.8.152.234,5
0.8.153.92,54
0.8.155.66,12
50.87.253.164,227
10.0.0.1,633
0.8.149.118,1
0.8.164.110,1
0.8.160.78,18
50.87.144.83,54
0.10.221.231,1003
0.8.162.5,1
0.8.165.214,104
67.20.76.83,12
50.87.253.200,152
67.20.116.164,37
0.8.153.113,46
0.8.129.173,2648
0.8.117.213,1926
0.8.157.191,26
0.8.224.208,799
0.8.181.154,1104
0.8.188.29,959
0.8.111.128,208
0.8.184.104,175
0.8.181.50,28
0.8.135.167,70
0.8.154.166,13
0.10.118.237,2
0.8.150.9,45
0.8.155.116,5
0.9.101.121,3
0.8.156.77,2
0.8.159.237,1
0.8.150.167,1
0.8.139.228,2
0.8.116.110,1392
0.8.164.44,14
0.8.156.64,1025
0.8.164.234,14
0.8.154.16,19
0.8.144.239,534
0.8.157.50,107
0.8.160.208,6
0.8.136.184,373
0.8.157.122,8
0.8.163.90,1
0.8.153.147,11
0.8.142.83,49
0.8.153.247,108
0.8.141.5,207
0.8.148.163,1442
162.144.178.128,44
192.185.4.28,68
0.8.157.226,21
0.8.122.53,3215
0.8.121.175,1036
0.9.92.53,1082
0.8.156.1,150
0.9.22.67,28
0.10.236.120,114
162.241.123.154,76
0.8.155.136,52
0.8.178.99,1
0.8.159.5,24
0.8.159.219,8
50.87.253.179,191
0.8.108.213,3796
0.8.121.7,886
50.6.160.80,6
173.254.104.34,104
0.8.149.240,1
0.8.155.72,6
0.8.169.111,11
0.8.166.39,38
0.8.158.152,1
50.87.144.38,68
0.8.160.48,987
0.8.175.27,846
0.9.138.223,738
0.8.158.222,7
0.8.161.167,1607
0.8.117.92,1287
50.87.253.206,185
0.8.160.161,133
0.8.161.169,57
0.8.215.190,902
0.8.158.73,4
0.8.162.153,7
0.8.228.120,53
0.8.160.218,752
188.210.221.221,1242
0.8.160.221,101
0.8.167.246,22
0.8.158.248,16
0.8.162.56,3
198.57.247.220,55
0.9.31.56,658
0.9.14.204,154
0.8.161.188,198
0.8.134.249,512
0.8.101.90,4332
0.8.163.109,404
162.241.224.18,6
0.8.171.13,17
0.8.168.230,2
0.8.140.12,3
0.8.117.235,1119
162.241.85.207,73
0.8.148.201,1
0.10.193.75,3
0.8.198.219,15
0.8.163.30,160
50.87.253.92,137
192.185.4.96,59
0.8.160.183,37
0.8.171.30,1
0.8.160.199,99
0.8.122.202,925
0.8.169.228,54
0.9.35.4,50
0.10.34.34,221
0.8.162.11,18
0.8.107.110,66
0.8.184.203,1
0.8.179.234,1
0.8.173.112,13
0.8.161.227,32
0.8.254.239,6
192.185.4.66,61
0.8.187.209,10
162.144.182.106,55
0.8.157.193,53
0.8.167.131,1
0.8.120.147,342
0.8.218.4,637
0.8.158.210,173
0.9.74.249,48
0.8.241.145,412
0.8.166.67,330
0.8.183.190,1
0.8.126.249,516
0.10.46.209,1
0.8.162.170,29
0.8.164.126,2
0.8.137.52,986
0.8.157.175,143
0.8.215.143,1
173.254.28.244,96
0.8.173.183,1
0.8.197.10,1
0.8.126.175,2917
173.254.31.123,93
50.87.144.117,57
0.8.223.53,896
192.185.4.70,55
0.8.122.103,592
50.87.253.20,18
0.8.172.226,124
0.8.135.63,189
0.8.118.89,880
0.8.123.110,2285
0.8.122.76,2052
0.8.167.31,443
0.8.119.49,1542
0.8.190.24,21
0.8.170.123,1
0.8.186.93,1
0.8.102.92,30
0.9.50.210,253
192.185.4.84,64
0.8.163.243,5
0.8.243.137,4
0.8.120.34,220
0.8.172.77,15
0.8.159.107,923
0.8.175.227,15
0.8.165.24,108
0.8.170.136,4
0.8.142.87,295
50.87.238.109,91
0.8.179.167,4
0.8.168.60,870
0.10.60.175,53
0.8.168.86,120
0.8.165.238,6
0.8.159.92,735
0.8.159.121,1291
0.8.174.24,1
0.8.169.106,7
162.215.117.186,72
0.8.181.161,53
0.8.233.137,27
0.8.170.238,14
162.241.224.173,58
0.8.173.172,1010
0.8.175.25,4
0.8.171.196,116
67.20.113.136,111
0.9.35.104,882
59.102.158.208,1
0.8.151.120,726
0.8.129.202,874
0.9.36.248,161
0.8.191.211,4
0.8.109.244,901
0.8.171.229,28
0.8.112.168,959
0.8.108.228,221
0.8.147.254,894
0.8.171.223,159
198.57.247.213,57
0.8.185.179,1
0.8.163.36,341
50.87.253.29,27
192.185.4.101,82
85.209.230.112,6
0.8.170.110,4
50.87.144.82,56
0.8.174.240,9
0.8.181.211,1
0.8.172.213,52
0.8.244.228,3
0.10.126.137,1
0.8.160.40,82
0.8.112.243,588
0.8.173.19,12
0.8.170.220,13
0.8.172.27,15
0.8.119.248,959
50.87.144.65,68
0.10.54.175,181
0.8.171.8,148
0.8.190.106,3
0.8.179.61,95
192.185.4.88,68
0.10.254.191,1
0.8.172.104,75
0.8.172.112,3
0.8.168.18,24
0.8.177.64,49
0.10.47.7,219
0.8.181.104,16
0.10.46.208,1
0.8.185.132,1
0.10.254.237,23
162.241.216.212,7
0.8.132.137,1270
0.8.124.144,1054
0.8.174.49,27
173.254.29.56,101
0.8.177.65,1
0.8.235.170,52
0.8.206.181,304
0.8.109.117,557
162.241.225.201,5
0.8.167.248,892
0.8.166.21,265
0.8.175.45,1
198.57.247.194,68
0.8.114.143,704
0.8.251.71,2
0.8.174.33,23
0.8.170.250,930
0.8.175.60,44
50.87.144.72,62
0.9.250.8,185
0.8.180.174,177
0.8.201.3,25
0.8.214.10,8
185.206.144.149,56
192.254.250.186,86
0.8.166.216,148
0.8.167.129,575
0.8.196.144,972
0.8.179.211,208
162.241.85.98,6
0.8.101.228,1093
0.8.172.241,3
0.9.52.150,14
198.57.247.219,61
0.8.172.126,1
0.8.127.61,1335
0.9.35.227,376
0.8.178.36,64
0.8.200.197,110
0.8.175.201,1
0.8.173.60,25
0.8.174.52,496
0.8.175.19,752
0.8.186.125,1
162.241.224.236,7
0.8.162.145,418
0.8.117.156,863
0.8.219.177,19
0.8.178.178,22
0.8.109.43,644
0.8.159.146,960
0.8.176.173,8
0.8.180.5,6
0.8.175.220,1
0.8.183.77,32
0.8.191.112,448
0.8.105.179,948
0.8.116.118,944
0.8.255.14,2
0.8.214.234,60
50.87.225.157,257
0.8.175.61,1028
0.8.118.254,1210
0.8.189.158,1
0.8.182.23,8
0.11.4.26,497
192.185.4.63,58
0.8.180.104,23
0.8.199.57,1
0.8.191.164,975
0.8.178.142,80
0.8.159.21,813
0.8.182.250,11
0.8.176.249,9
0.8.183.198,111
0.8.181.52,39
0.10.169.170,16
0.8.143.114,504
198.57.247.183,55
0.8.182.37,27
0.8.251.142,6
50.87.170.207,29
0.8.187.229,7
0.8.229.53,96
0.8.172.240,62
0.8.180.32,40
0.8.178.120,3
0.8.239.204,265
0.8.176.204,13
50.87.171.134,56
0.8.176.205,133
173.254.104.158,122
0.8.190.31,26
0.8.245.128,146
0.8.114.8,1056
0.8.114.148,3786
0.8.225.17,1
0.10.59.213,126
0.8.211.25,1
0.8.179.144,1
0.8.231.153,1
0.8.206.163,5
0.8.165.100,787
0.8.182.46,1
0.8.180.15,73
0.10.128.2,25
0.8.114.190,888
0.8.197.160,530
192.254.250.173,48
0.8.189.191,19
0.8.182.178,62
0.8.193.178,19
0.8.208.227,190
0.8.205.185,1
192.185.4.99,68
0.8.192.126,981
0.8.172.218,586
0.8.181.41,803
0.8.182.129,3
0.8.124.130,1527
0.8.110.145,1946
0.8.185.87,4
0.9.64.235,82
0.8.189.85,15
0.8.187.233,12
0.8.146.212,934
0.8.182.151,39
0.8.122.80,597
0.8.197.19,30
0.8.221.189,386
162.241.219.134,11
0.8.186.216,1
0.8.194.24,676
0.8.209.102,1
0.8.184.167,23
0.8.184.71,2
0.8.236.201,364
192.185.4.117,60
0.8.187.108,16
0.8.185.66,5
0.9.183.251,104
0.8.199.187,875
50.87.253.245,200
0.8.232.211,295
0.9.12.166,1247
0.8.183.254,30
0.8.186.223,5
0.8.186.226,7
0.8.200.29,1
0.8.113.128,937
0.8.196.81,4
0.8.188.58,33
0.8.185.93,1
0.8.189.130,85
0.8.215.24,88
0.8.203.25,34
0.10.79.216,1
0.8.182.105,9
0.8.185.79,81
0.8.208.184,185
0.8.157.2,15
208.91.197.181,51
0.8.180.136,79
0.8.205.103,113
0.8.204.156,11
0.11.12.107,1
0.8.204.166,21
0.8.197.100,38
0.8.196.236,1
50.87.238.35,81
0.8.185.95,110
0.8.185.89,49
0.8.203.182,26
0.8.173.246,569
0.8.183.136,18
0.8.188.91,35
0.8.196.183,4
108.167.189.61,43
162.241.85.56,62
0.8.139.48,30
0.8.195.66,42
0.8.190.68,450
0.8.188.101,1
0.8.181.213,1277
108.167.156.162,6
0.8.187.205,39
0.10.196.187,1537
0.8.209.198,214
0.8.225.48,1
0.8.110.192,824
0.8.186.255,17
0.8.111.242,1185
0.9.15.224,534
0.8.187.189,17
0.8.120.99,783
0.8.188.119,45
0.8.188.181,663
192.254.250.172,56
0.8.176.45,906
0.8.187.210,1
0.8.164.35,1357
0.8.196.146,1
0.8.230.72,82
0.8.191.7,64
0.8.190.30,71
0.8.190.132,78
0.8.155.17,32
0.8.219.151,18
0.8.190.245,35
0.8.188.99,27
0.8.138.44,2
0.8.191.79,79
0.10.68.219,135
0.8.189.125,6
0.8.105.1,185
0.10.80.5,1
0.8.146.192,910
178.63.50.103,29
0.8.191.205,1
0.8.209.141,41
0.8.198.136,1
0.8.193.198,71
0.8.224.97,1
0.8.191.255,42
0.8.193.85,99
0.11.17.117,124
119.18.54.152,37
0.8.113.53,624
0.8.212.236,207
67.20.112.81,191
0.8.120.82,1989
0.8.124.41,3049
0.9.241.168,745
0.9.27.194,1
0.8.197.78,9
0.8.198.225,1
0.8.191.162,4
50.87.136.52,88
0.8.186.51,114
50.87.253.101,154
0.8.106.176,3984
0.8.163.33,934
0.8.137.211,928
0.10.28.3,158
50.87.182.95,103
0.8.196.169,74
0.8.191.194,9
0.9.167.142,957
0.8.190.191,609
0.8.202.73,73
0.9.52.24,1
0.8.112.188,1255
0.8.157.163,3639
0.8.194.116,51
0.8.172.21,205
0.8.198.240,1
0.8.197.116,16
0.8.195.188,10
0.8.203.237,1
0.8.239.64,120
0.8.186.177,56
0.8.164.198,4
0.8.189.207,4
50.87.225.121,156
0.8.97.76,929
0.8.195.0,9
0.8.206.132,1
0.8.136.53,523
20.56.15.97,1
0.8.190.161,843
0.8.226.249,6
0.8.210.7,1
0.8.187.102,3
0.9.16.232,15
0.9.87.131,94
0.8.194.119,1
0.8.184.211,306
108.167.155.116,23
0.8.185.236,369
0.11.20.152,1
0.8.204.139,1
0.8.192.138,1045
0.8.247.232,120
0.11.20.201,1
0.8.205.238,31
192.185.4.44,55
0.8.207.24,19
0.8.164.36,1640
0.11.21.25,154
0.8.193.179,1763
0.8.195.31,268
0.8.194.50,2
0.8.211.26,27
0.8.196.158,896
0.8.189.194,451
0.8.201.108,10
0.8.199.161,1
0.8.119.167,704
0.8.189.68,2
0.8.201.208,5
0.8.200.154,2
0.9.22.37,94
0.8.121.93,971
198.57.247.185,65
0.8.251.17,515
0.8.208.201,15
192.254.250.159,59
0.8.234.99,7
0.8.206.30,10
173.254.30.148,38
0.8.203.22,1
0.8.105.24,899
0.8.198.53,246
0.8.196.37,7
0.8.224.7,564
0.11.23.244,72
0.8.240.111,3
108.167.189.20,41
0.8.237.225,10
0.8.196.220,20
0.8.162.206,659
173.254.30.125,50
0.8.205.163,33
0.11.24.176,1
0.8.238.172,3
0.11.25.31,1
0.8.211.8,1
0.8.195.212,1
0.11.25.174,1
0.8.197.246,40
0.8.162.22,938
0.8.202.250,216
0.8.211.99,6
0.8.199.191,4
0.8.212.43,13
50.87.248.47,13
0.8.204.103,1
0.8.224.160,1
0.8.220.119,17
0.8.204.15,92
0.8.246.248,35
0.8.199.125,1
0.8.215.27,23
198.57.247.242,56
0.11.27.72,1
0.11.27.98,387
0.8.212.118,11
0.8.194.118,196
0.8.210.175,1
0.8.203.250,30
198.57.247.210,60
0.8.233.66,160
0.8.208.39,19
0.8.193.248,472
0.8.204.172,3
82.207.79.157,1
50.87.225.58,148
192.185.4.91,90
0.8.214.4,7
0.8.196.232,101
0.8.159.223,865
162.241.30.106,7
0.8.140.183,1899
0.8.201.148,26
0.8.216.52,44
0.8.207.157,528
0.8.217.169,240
0.8.210.39,920
0.8.119.39,996
0.8.208.232,1
0.8.210.70,95
0.9.12.184,242
0.9.90.252,930
0.8.216.77,13
0.8.147.18,328
0.8.109.78,682
0.8.207.254,51
0.8.209.18,30
0.8.153.169,109
0.8.204.150,142
0.8.209.39,12
0.8.206.220,9
0.8.207.16,79
0.8.106.212,883
0.8.127.174,221
50.87.144.95,51
0.8.204.200,87
0.8.115.133,1359
0.8.201.100,1896
0.8.126.145,972
0.8.211.100,14
0.8.164.151,529
0.11.29.55,28
